Contestant,Age,Hometown,Outcome
Violet Chachki,22,"Atlanta, Georgia",Winner
Ginger Minj,29,"Orlando, Florida",Runner-up
Pearl Liaison,23,"Brooklyn, New York",Runner-up
Kennedy Davenport,33,"Dallas, Texas",4th
Katya Zamolodchikova,32,"Boston, Massachusetts",5th[i]
Trixie Mattel,26,"Milwaukee, Wisconsin",6th[j]
Miss Fame,29,"New York, New York",7th
Jaidynn Diore Fierce,25,"Nashville, Tennessee",8th
Max,22,"Hudson, Wisconsin",9th
Kandy Ho,28,"Cayey, Puerto Rico",10th
Mrs. Kasha Davis,43,"Rochester, New York",11th
Jasmine Masters,37,"Los Angeles, California",12th
Sasha Belle,28,"Iowa City, Iowa",13th
Tempest DuJour,46,"Tucson, Arizona",14th
Season 8,Season 8,Season 8,Season 8
Bob the Drag Queen,29,"Brooklyn, New York",Winner
Kim Chi,27,"Chicago, Illinois",Runner-up
Naomi Smalls,21,"Redlands, California",Runner-up
Chi Chi DeVayne[k],30,"Shreveport, Louisiana",4th
Derrick Barry,32,"Las Vegas, Nevada",5th
Thorgy Thor,31,"Brooklyn, New York",6th
Robbie Turner,33,"Seattle, Washington",7th
Acid Betty,37,"Brooklyn, New York",8th
Naysha Lopez,31,"Chicago, Illinois",9th[l]
Cynthia Lee Fontaine,34,"Austin, Texas",10th
Dax ExclamationPoint,31,"Savannah, Georgia",11th/12th
Laila McQueen,22,"Gloucester, Massachusetts",11th/12th
Season 9,Season 9,Season 9,Season 9
Sasha Velour,29,"Brooklyn, New York",Winner
Peppermint,37,"New York, New York",Runner-up
Shea Couleé,27,"Chicago, Illinois",3rd/4th
Trinity Taylor,31,"Orlando, Florida",3rd/4th
Alexis Michelle,33,"New York, New York",5th
Nina Bo'nina Brown,34,"Atlanta, Georgia",6th
Valentina,25,"Los Angeles, California",7th
Farrah Moan,23,"Las Vegas, Nevada",8th
Aja,22,"Brooklyn, New York",9th
Cynthia Lee Fontaine,34,"Austin, Texas",10th
Eureka O'Hara,25,"Johnson City, Tennessee",11th[m]
Charlie Hides,52,"London, UK/ Boston, Massachusetts",12th
Kimora Blac,28,"Las Vegas, Nevada",13th
Jaymes Mansfield,26,"Madison, Wisconsin",14th
Season 10,Season 10,Season 10,Season 10
Aquaria,21,"Brooklyn, New York",Winner
Eureka[n],27,"Johnson City, Tennessee",Runner-up
Kameron Michaels,31,"Nashville, Tennessee",Runner-up
Asia O'Hara[o],35,"Dallas, Texas",4th
Miz Cracker,33,"Harlem, New York",5th
Monét X Change,31,"The Bronx, New York",6th
The Vixen,26,"Chicago, Illinois",7th
Monique Heart,27,"Kansas City, Missouri",8th
Blair St. Clair,22,"Indianapolis, Indiana",9th
Mayhem Miller,35,"Riverside, California",10th
Dusty Ray Bottoms,29,"New York, New York",11th
Yuhua Hamasaki,27,"New York, New York",12th
Kalorie Karbdashian Williams,27,"Albuquerque, New Mexico",13th
Vanessa Vanjie Mateo,25,"Tampa, Florida",14th
